Date,Open,High,Low,Close,Adj Close,Volume
1/30/2019,76.5,76.5,76.5,76.5,76.5,0
1/31/2019,76.5,76.5,76.5,76.5,76.5,0
2/1/2019,76.5,76.5,76.5,76.5,76.5,0
2/4/2019,76.5,76.5,76.5,76.5,76.5,0
2/5/2019,81,112.5,81,112.5,112.5,1
2/6/2019,450,450,450,450,450,0
2/7/2019,450,450,450,450,450,1
2/8/2019,90,450,76.5,450,450,0
2/11/2019,450,450,450,450,450,0
2/12/2019,76.5,76.5,76.5,76.5,76.5,0
2/13/2019,76.5,76.5,76.5,76.5,76.5,0
2/14/2019,450,450,450,450,450,0
2/15/2019,450,450,450,450,450,0
2/19/2019,450,450,450,450,450,0
2/20/2019,81,450,81,450,450,1
2/21/2019,450,450,450,450,450,0
2/22/2019,450,450,450,450,450,0
2/25/2019,450,450,450,450,450,0
2/26/2019,450,450,450,450,450,0
2/27/2019,450,450,450,450,450,0
2/28/2019,450,450,450,450,450,0
3/1/2019,450,450,450,450,450,0
3/4/2019,450,450,450,450,450,0
3/5/2019,450,450,450,450,450,1
3/6/2019,445.5,445.5,445.5,445.5,445.5,0
3/7/2019,445.5,445.5,445.5,445.5,445.5,0
3/8/2019,373.5,373.5,90,90,90,1
3/11/2019,90,90,90,90,90,0
3/12/2019,90,90,90,90,90,0
3/13/2019,90,90,90,90,90,0
3/14/2019,90,90,90,90,90,0
3/15/2019,445.5,450,135,135,135,4
3/18/2019,450,450,450,450,450,0
3/19/2019,450,450,450,450,450,0
3/20/2019,450,450,450,450,450,0
3/21/2019,450,450,450,450,450,0
3/22/2019,450,450,450,450,450,2
3/25/2019,450,450,144,144,144,0
3/26/2019,144,144,144,144,144,0
3/27/2019,144,144,144,144,144,0
3/28/2019,144,144,144,144,144,0
3/29/2019,144,144,144,144,144,0
4/1/2019,234,234,225,225,225,5
4/2/2019,225,225,225,225,225,0
4/3/2019,225,225,225,225,225,0
4/4/2019,225,225,225,225,225,0
4/5/2019,225,225,225,225,225,0
4/8/2019,225,225,225,225,225,0
4/9/2019,225,225,225,225,225,0
